id,name,fsa_code,area,main_type,cuisine_group,price_level,rating,user_rating_count,menu_for_children,good_for_children,good_for_groups,accepts_non_cash,has_free_parking,has_paid_parking,open_24hrs,weekday_open_days,weekend_open_days,total_hrs,avg_daily_hrs,avg_weekday_hrs,avg_weekend_hrs
ChIJW3DXl-0YoFMRNS0TDSElNOQ,Ninja Noodle,T6B,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon,generic restaurant,restaurant,inexpensive,4.7,321.0,False,False,False,True,True,False,False,5,2,62.0,8.857142857142858,10.0,6.0
ChIJ2xSGOlcgoFMRHIHIry7sZJE,Oriental Delight,T5T,West Jasper Place / West Edmonton Mall,asian cuisine,chinese restaurant,inexpensive,2.4,141.0,False,True,True,True,True,False,False,5,1,62.0,10.333333333333334,11.0,7.0
ChIJyYeAgcAeoFMRJqF9PZoI880,Blaze Pizza,T6E,SouthBonnie Doon /  EastUniversity,western cuisine,italian restaurant,inexpensive,4.4,1374.0,False,True,True,True,True,False,False,5,2,77.0,11.0,11.0,11.0
ChIJAdtrJzwZoFMRt-XQS29lIiQ,O2's Mill Woods,T6L,EastMill Woods,beverage and bar,bar,moderate,4.2,631.0,False,False,True,True,True,False,False,5,2,105.0,15.0,15.0,15.0
ChIJnTlVHyY9oFMRR6jN733rWA8,Tim Hortons,T5W,CentralBeverly,beverage and bar,beverage shop,inexpensive,3.4,551.0,True,True,False,True,True,False,False,5,2,126.0,18.0,18.0,18.0
ChIJDeETcDcioFMR3VXJDmA8dcs,Subway,T5J,NorthDowntown,fast or casual dining,fast food restaurant,inexpensive,3.9,97.0,True,True,False,True,True,False,False,5,2,79.0,11.285714285714286,13.0,7.0
ChIJY6MvcUwioFMRhVEb-a_TK_4,The Lingnan,T5H,North and EastDowntown Fringe,asian cuisine,chinese restaurant,moderate,4.6,1678.0,False,True,True,True,True,True,False,4,2,29.0,4.833333333333333,4.75,5.0
ChIJz5A4BfkgoFMRsVDVh5bA0hA,Buffet Royale Carvery West,T5T,West Jasper Place / West Edmonton Mall,fast or casual dining,buffet restaurant,moderate,3.7,2321.0,False,True,True,True,True,False,False,5,2,70.0,10.0,10.0,10.0
ChIJZTgfcon1n1MRSsJrUjn3rOo,Sr. Frango’s - Authentic Portuguese Chicken,T6W,Heritage Valley,generic restaurant,restaurant,inexpensive,4.7,177.0,False,False,False,True,True,False,False,5,2,73.0,10.428571428571429,10.8,9.5
ChIJG5ybr58eoFMRbanvpSTjlVU,Brewsters Brewing Company and Restaurant - Summerside,T6X,Ellerslie,beverage and bar,bar,moderate,4.1,917.0,False,False,True,True,True,False,False,5,2,83.5,11.928571428571429,11.9,12.0
ChIJyyds65YYoFMRVC1U_JBi3wA,Tim Hortons,T6C,CentralBonnie Doon,beverage and bar,beverage shop,inexpensive,3.8,992.0,True,False,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
ChIJ384-IL8koFMRWeelWf138lE,Fatburger Namao,T5Z,WestLake District,western cuisine,american restaurant,moderate,4.3,1002.0,True,True,True,True,True,False,False,5,2,105.0,15.0,15.0,15.0
ChIJiV2Vg7E8oFMRSW9Wr8pTTm8,KFC,T5A,WestClareview /  EastLondonderry,fast or casual dining,fast food restaurant,inexpensive,3.3,464.0,True,False,False,True,True,False,False,5,2,105.0,15.0,15.0,15.0
ChIJe3N9HFMZoFMR4kTPBiC6aLU,New York Fries Mill Woods Town Centre,T6K,WestMill Woods,generic restaurant,restaurant,inexpensive,4.7,427.0,False,True,False,True,True,False,False,5,2,76.0,10.857142857142858,10.0,13.0
ChIJpT0jCwAfoFMRy2rLOICv5TQ,Subway,T6R,Riverbend,fast or casual dining,fast food restaurant,inexpensive,4.4,48.0,False,True,False,True,True,False,False,5,2,101.5,14.5,14.5,14.5
ChIJ84LwsJ4eoFMRj7yw0rdmM-A,The Canadian Brewhouse (Edmonton Ellerslie),T6X,Ellerslie,beverage and bar,bar,moderate,4.3,3644.0,True,False,True,True,True,False,False,5,2,102.5,14.642857142857142,14.5,15.0
ChIJQQGO0_0eoFMR-czNcYZ_lc0,Sicilian Pasta Kitchen South,T6J,Kaskitayo / Aspen Gardens,western cuisine,italian restaurant,moderate,4.3,2199.0,True,True,True,True,True,False,False,5,2,73.5,10.5,11.1,9.0
ChIJLXtwIFIioFMRap1v5wx48Lk,Boualouang Laos & Thai Cuisine,T5H,North and EastDowntown Fringe,asian cuisine,thai restaurant,moderate,4.6,497.0,False,False,True,True,True,False,False,5,2,66.5,9.5,9.5,9.5
ChIJ9f3ZFR4ioFMRv0LNChQJDv4,Vegas Donair & Poutine,T6G,WestUniversity / Strathcona Place,generic restaurant,restaurant,inexpensive,4.6,415.0,False,True,True,True,True,True,False,5,2,80.0,11.428571428571429,12.0,10.0
ChIJX6PtgdUeoFMRyO-tjjoTCos,Punjab Sweets & Restaurant,T6E,SouthBonnie Doon /  EastUniversity,asian cuisine,indian restaurant,moderate,3.7,1527.0,True,True,True,True,True,False,False,5,2,79.0,11.285714285714286,11.2,11.5
ChIJUUdOTD4goFMRZJBWonNuVUI,Pizza 73,T5T,West Jasper Place / West Edmonton Mall,western cuisine,italian restaurant,inexpensive,4.7,1284.0,True,True,False,True,True,False,False,5,2,99.0,14.142857142857142,14.2,14.0
ChIJdXoHX8AeoFMRZS0ns8T-zB0,Earls Kitchen + Bar,T6N,South Industrial,beverage and bar,bar,moderate,4.6,4175.0,False,False,True,True,True,False,False,5,2,93.0,13.285714285714286,13.2,13.5
ChIJu36XUK0YoFMRLdJUHnKA8Ls,LETS Grill Restaurant,T6H,Southgate /  NorthRiverbend,asian cuisine,chinese restaurant,moderate,4.2,363.0,False,False,True,True,True,False,False,5,2,49.0,7.0,7.0,7.0
ChIJhxpap0IhoFMRGbsgdHFjBMk,A&W Canada,T5M,SouthWestmount / Groat Estate /  EastNorthwest Industrial,western cuisine,american restaurant,inexpensive,4.2,1531.0,True,True,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
ChIJGySu2ID1n1MRjHRqzTLvgao,Edo Japan,T6W,Heritage Valley,fast or casual dining,fast food restaurant,inexpensive,4.0,289.0,True,True,True,True,True,False,False,5,2,82.0,11.714285714285714,12.0,11.0
ChIJv-QnQ4D1n1MRsmRurTOzf2E,Tim Hortons,T6W,Heritage Valley,beverage and bar,beverage shop,inexpensive,3.7,1045.0,True,True,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
ChIJnzHCYUI7oFMR_f-oZ5aBXvE,Domino's Pizza,T5Y,Horse Hill /  EastLake District,delivery or takeaway,meal delivery,inexpensive,4.1,481.0,False,False,False,True,True,False,False,5,2,103.5,14.785714285714286,14.7,15.0
